x	y	showSelected1
1	0.587993836740498	1
2	0.614880894322414	2
3	0.573427371867001	3
4	0.642844430543482	4
5	0.641898220172152	5
6	0.700226898409892	6
7	0.657380285754334	7
8	0.716721440642141	8
9	0.605947148380801	9
10	0.613718988280743	10
11	0.611426235805266	11
12	0.632495578564704	12
13	0.577040316001512	13
14	0.670989992353134	14
15	0.585453286895063	15
16	0.593705117725767	16
17	0.60018235737225	17
18	0.670571482984815	18
19	0.616668585315347	19
20	0.612698909128085	20
21	0.651752684894018	21
22	0.558861825615168	22
23	0.609744847181719	23
24	0.571214961074293	24
25	0.467299646825995	25
26	0.631754975300282	26
27	0.70810844496591	27
28	0.546806197916158	28
29	0.599143957369961	29
30	0.581054474308621	30
31	0.663393473741598	31
32	0.639621517108753	32
33	0.590633783082012	33
34	0.585251352970954	34
35	0.638001778780017	35
36	0.648312981869094	36
37	0.572733491961844	37
38	0.628247982170433	38
39	0.611726025526878	39
40	0.562985777494032	40
41	0.610587825847324	41
42	0.640324403368868	42
43	0.589008111238945	43
44	0.671742123912554	44
45	0.576809465221595	45
46	0.64632405230077	46
47	0.55900846059667	47
48	0.516194024542347	48
49	0.6121795333107	49
50	0.603236115782056	50
