xmin	xmax	ymin	ymax	showSelected1
0.466299646825995	0.483061099747072	0	0	1
0.483061099747072	0.499822552668148	0	0	1
0.499822552668148	0.516584005589224	0	0	1
0.516584005589224	0.533345458510301	0	0	1
0.533345458510301	0.550106911431377	0	0	1
0.550106911431377	0.566868364352454	0	0	1
0.566868364352454	0.58362981727353	0	0	1
0.58362981727353	0.600391270194606	0	1	1
0.600391270194606	0.617152723115683	0	0	1
0.617152723115683	0.633914176036759	0	0	1
0.633914176036759	0.650675628957835	0	0	1
0.650675628957835	0.667437081878912	0	0	1
0.667437081878912	0.684198534799988	0	0	1
0.684198534799988	0.700959987721065	0	0	1
0.700959987721065	0.717721440642141	0	0	1
0.466299646825995	0.483061099747072	0	0	2
0.483061099747072	0.499822552668148	0	0	2
0.499822552668148	0.516584005589224	0	0	2
0.516584005589224	0.533345458510301	0	0	2
0.533345458510301	0.550106911431377	0	0	2
0.550106911431377	0.566868364352454	0	0	2
0.566868364352454	0.58362981727353	0	0	2
0.58362981727353	0.600391270194606	0	1	2
0.600391270194606	0.617152723115683	0	1	2
0.617152723115683	0.633914176036759	0	0	2
0.633914176036759	0.650675628957835	0	0	2
0.650675628957835	0.667437081878912	0	0	2
0.667437081878912	0.684198534799988	0	0	2
0.684198534799988	0.700959987721065	0	0	2
0.700959987721065	0.717721440642141	0	0	2
0.466299646825995	0.483061099747072	0	0	3
0.483061099747072	0.499822552668148	0	0	3
0.499822552668148	0.516584005589224	0	0	3
0.516584005589224	0.533345458510301	0	0	3
0.533345458510301	0.550106911431377	0	0	3
0.550106911431377	0.566868364352454	0	0	3
0.566868364352454	0.58362981727353	0	1	3
0.58362981727353	0.600391270194606	0	1	3
0.600391270194606	0.617152723115683	0	1	3
0.617152723115683	0.633914176036759	0	0	3
0.633914176036759	0.650675628957835	0	0	3
0.650675628957835	0.667437081878912	0	0	3
0.667437081878912	0.684198534799988	0	0	3
0.684198534799988	0.700959987721065	0	0	3
0.700959987721065	0.717721440642141	0	0	3
0.466299646825995	0.483061099747072	0	0	4
0.483061099747072	0.499822552668148	0	0	4
0.499822552668148	0.516584005589224	0	0	4
0.516584005589224	0.533345458510301	0	0	4
0.533345458510301	0.550106911431377	0	0	4
0.550106911431377	0.566868364352454	0	0	4
0.566868364352454	0.58362981727353	0	1	4
0.58362981727353	0.600391270194606	0	1	4
0.600391270194606	0.617152723115683	0	1	4
0.617152723115683	0.633914176036759	0	0	4
0.633914176036759	0.650675628957835	0	1	4
0.650675628957835	0.667437081878912	0	0	4
0.667437081878912	0.684198534799988	0	0	4
0.684198534799988	0.700959987721065	0	0	4
0.700959987721065	0.717721440642141	0	0	4
0.466299646825995	0.483061099747072	0	0	5
0.483061099747072	0.499822552668148	0	0	5
0.499822552668148	0.516584005589224	0	0	5
0.516584005589224	0.533345458510301	0	0	5
0.533345458510301	0.550106911431377	0	0	5
0.550106911431377	0.566868364352454	0	0	5
0.566868364352454	0.58362981727353	0	1	5
0.58362981727353	0.600391270194606	0	1	5
0.600391270194606	0.617152723115683	0	1	5
0.617152723115683	0.633914176036759	0	0	5
0.633914176036759	0.650675628957835	0	2	5
0.650675628957835	0.667437081878912	0	0	5
0.667437081878912	0.684198534799988	0	0	5
0.684198534799988	0.700959987721065	0	0	5
0.700959987721065	0.717721440642141	0	0	5
0.466299646825995	0.483061099747072	0	0	6
0.483061099747072	0.499822552668148	0	0	6
0.499822552668148	0.516584005589224	0	0	6
0.516584005589224	0.533345458510301	0	0	6
0.533345458510301	0.550106911431377	0	0	6
0.550106911431377	0.566868364352454	0	0	6
0.566868364352454	0.58362981727353	0	1	6
0.58362981727353	0.600391270194606	0	1	6
0.600391270194606	0.617152723115683	0	1	6
0.617152723115683	0.633914176036759	0	0	6
0.633914176036759	0.650675628957835	0	2	6
0.650675628957835	0.667437081878912	0	0	6
0.667437081878912	0.684198534799988	0	0	6
0.684198534799988	0.700959987721065	0	1	6
0.700959987721065	0.717721440642141	0	0	6
