x	y
1	0.587993836740498
2	0.614880894322414
3	0.573427371867001
4	0.642844430543482
5	0.641898220172152
6	0.700226898409892
7	0.657380285754334
8	0.716721440642141
9	0.605947148380801
10	0.613718988280743
11	0.611426235805266
12	0.632495578564704
13	0.577040316001512
14	0.670989992353134
15	0.585453286895063
16	0.593705117725767
17	0.60018235737225
18	0.670571482984815
19	0.616668585315347
20	0.612698909128085
21	0.651752684894018
22	0.558861825615168
23	0.609744847181719
24	0.571214961074293
25	0.467299646825995
26	0.631754975300282
27	0.70810844496591
28	0.546806197916158
29	0.599143957369961
30	0.581054474308621
31	0.663393473741598
32	0.639621517108753
33	0.590633783082012
34	0.585251352970954
35	0.638001778780017
36	0.648312981869094
37	0.572733491961844
38	0.628247982170433
39	0.611726025526878
40	0.562985777494032
41	0.610587825847324
42	0.640324403368868
43	0.589008111238945
44	0.671742123912554
45	0.576809465221595
46	0.64632405230077
47	0.55900846059667
48	0.516194024542347
49	0.6121795333107
50	0.603236115782056
